text,label
"Hey, are we still meeting tomorrow for the group project?",0
URGENT: Campus Placement Drive. Send SSN and $50 fee for registration.,1
Your university library books are overdue. Please return them.,0
PAID INTERNSHIP! Click here to apply now.,1
Professor Smith's AI class is canceled today.,0
Important: Verify your student email to avoid account suspension.,1
Campus event: Free pizza at the quad at 12 PM. See you there!,0
Congratulations! You won the college scholarship. Claim here!!,1
Can you send me the notes from the last machine learning lecture?,0
WORK FROM DORM! Part time position available. Contact this strange email.,1
Congratulations! You are shortlisted for the NASSCOM Job Bridge Drive. Kindly Fill the application form on immediate basis for getting Scholarship Slot in phase -2!,1
This is to inform you that After Giving Several Reminders regarding the internship program still there is no response from your end,1
We are pleased to inform you that your enrollment for the 3-Month Training & Stipend-Based Internship Program with AENEXZ EdTech has been successfully confirmed,1
We are announcing a unique 3-month Job Driven Program offered by UNLOX in collaboration with leading MNCs,1
"Hi there, Thank you for applying to the Software Engineering Intern position at Atlassian. We were impressed by your background and would like to invite you to a 45-minute technical interview with one of our engineers. Please use the Calendly link below to book a time that works for you. Best, The Atlassian University Recruiting Team",0
"Dear Student, We are excited to formally offer you the position of Data Science Summer Intern at our Bangalore office. Please find the attached offer letter and NDA. If you accept, sign the documents via DocuSign by Friday. We look forward to welcoming you to the team!",0
"Thank you for taking the time to interview with us for the Cloud Computing Internship. While we were impressed with your coding assessment, we have decided to move forward with other candidates whose experience better aligns with our current tech stack. We will keep your resume on file for future new-grad roles. We wish you the best in your career.",0
"Hello, It was great meeting you at the university career fair yesterday! As discussed, our Summer Analyst program applications open next week. We encourage you to apply directly through our official careers portal at careers.jpmorgan.com. Let me know if you have any questions about the interview process.",0
"Welcome to the team! Ahead of your start date next Monday, we need you to complete your onboarding profile. Please log into the Workday portal using your temporary credentials to fill out your tax forms and emergency contact information. Your company laptop has been shipped and should arrive by Thursday. No payment is required from your end.",0
"Hi, This is a reminder that the coding challenge for the Backend Developer Internship is due in 48 hours. You can access the HackerRank assessment via the unique link below. Please ensure you have a stable internet connection before beginning the 90-minute test. Good luck!",0
"Dear Candidate, Thank you for your interest in the Product Management Internship. We have reviewed your application and would like to proceed to the next round, which is a behavioral interview with the hiring manager. Please reply to this email with your availability for next Tuesday or Wednesday between 1 PM and 5 PM IST.",0
"OFFICIAL CAMPUS NOTICE: Final call for the Summer Internship Drive. Only 5 spots left. Click the unauthorized link below to log in with your university email password to secure your interview slot. Do not share this link.",1
